comp_view,hdims,output_dim,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,prot,weave,gconv,ecfp8,gnn,score
gconv,"[690, 2960]",1,5,0.4226588244319318,128,128,128,adamax,0.028300386771202637,0.005100811831211928,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 39, 'pcnn_num_layers': 2}","{'dim': 256, 'update_pairs': False}",{'dim': 226},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 1, 'dim': 484}",-0.22809713900847356
gconv,[842],1,5,0.023044458409641148,256,128,128,adadelta,0.0006962245241403459,0.06697761884560131,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 49, 'pcnn_num_layers': 4}","{'dim': 497, 'update_pairs': False}",{'dim': 511},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 3, 'dim': 123}",-0.24675049748972694
gconv,"[4351, 2238, 1187]",1,5,0.3483330154520039,256,128,128,adamax,0.0027729246890233436,0.012842883620411725,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 31, 'pcnn_num_layers': 4}","{'dim': 79, 'update_pairs': False}",{'dim': 259},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 2, 'dim': 220}",-0.26149258875856685
gconv,"[2492, 2477, 4121, 1402]",1,5,0.17764170412981137,256,128,128,adagrad,0.0011516170276579135,0.0053689847425329815,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 28, 'pcnn_num_layers': 2}","{'dim': 193, 'update_pairs': False}",{'dim': 477},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 2, 'dim': 158}",-0.2822794999839931
gconv,"[4576, 2799]",1,5,0.028905606517918483,256,128,128,adadelta,0.004709312178098098,0.009838364393657564,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 27, 'pcnn_num_layers': 3}","{'dim': 392, 'update_pairs': False}",{'dim': 478},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 2, 'dim': 204}",-0.2893058819287536
gconv,[4381],1,5,0.09996090372854678,128,128,128,adagrad,0.03718749249929942,0.00021265600912538922,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 24, 'pcnn_num_layers': 3}","{'dim': 253, 'update_pairs': False}",{'dim': 419},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 4, 'dim': 489}",-0.2919534107545873
gconv,[1087],1,5,0.01,256,128,128,adam,0.0008638333554990539,0.005156978471469366,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 5, 'pcnn_num_layers': 1}","{'dim': 301, 'update_pairs': False}",{'dim': 64},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 1, 'dim': 512}",-0.29654941488492825
gconv,[5000],1,5,0.01,256,128,128,sgd,1.0,0.0001,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 50, 'pcnn_num_layers': 4}","{'dim': 64, 'update_pairs': False}",{'dim': 512},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 1, 'dim': 64}",-0.29736960864680057
gconv,"[1193, 1630]",1,5,0.06684634760950331,128,128,128,adagrad,0.043907925732400044,0.0015630799020950954,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 25, 'pcnn_num_layers': 2}","{'dim': 97, 'update_pairs': False}",{'dim': 274},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 1, 'dim': 469}",-0.30130237461121206
gconv,[3786],1,5,0.044844883573564934,256,128,128,sgd,1.0,0.0001,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 50, 'pcnn_num_layers': 4}","{'dim': 512, 'update_pairs': False}",{'dim': 512},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 4, 'dim': 512}",-0.308721813258324
gconv,[3456],1,5,0.01,256,128,128,adam,0.0001,0.006579608143542601,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 5, 'pcnn_num_layers': 1}","{'dim': 137, 'update_pairs': False}",{'dim': 64},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 4, 'dim': 512}",-0.3138423483378512
gconv,[1430],1,5,0.014999755944308048,256,128,128,adadelta,0.0006934285165810099,0.002388894805764123,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 20, 'pcnn_num_layers': 2}","{'dim': 140, 'update_pairs': False}",{'dim': 384},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 2, 'dim': 279}",-0.32255453562748315
gconv,[2157],1,5,0.06670897750676288,256,128,128,adadelta,0.09767228908187382,0.010007517033471941,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 43, 'pcnn_num_layers': 3}","{'dim': 260, 'update_pairs': False}",{'dim': 81},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 2, 'dim': 179}",-0.32391513652501763
gconv,[1392],1,5,0.16752000072820908,256,128,128,adadelta,0.3078607616948601,0.5078711947636781,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 12, 'pcnn_num_layers': 3}","{'dim': 244, 'update_pairs': False}",{'dim': 431},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 1, 'dim': 222}",-0.3306573729049577
gconv,"[3979, 2470, 989]",1,5,0.09683678408354277,128,128,128,adadelta,0.2487819056730756,0.010199037365663076,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 14, 'pcnn_num_layers': 2}","{'dim': 75, 'update_pairs': False}",{'dim': 142},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 3, 'dim': 135}",-0.3399052063621934
gconv,"[1188, 2444]",1,5,0.14752770410991597,128,128,128,sgd,0.015603382075251132,0.00032071477642638986,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 31, 'pcnn_num_layers': 2}","{'dim': 87, 'update_pairs': False}",{'dim': 275},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 2, 'dim': 428}",-0.34010435321866106
gconv,"[2459, 1349]",1,5,0.012548981802027844,256,128,128,adam,0.0038481602576623986,0.0002688197741045424,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 28, 'pcnn_num_layers': 1}","{'dim': 193, 'update_pairs': False}",{'dim': 168},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 4, 'dim': 189}",-0.3497444204174184
gconv,[256],1,5,0.01,256,128,128,adam,0.0001,0.0001,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 5, 'pcnn_num_layers': 1}","{'dim': 512, 'update_pairs': False}",{'dim': 64},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 1, 'dim': 64}",-0.3824188439137928
