comp_view,hdims,output_dim,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,prot,weave,gconv,ecfp8,gnn,score
gnn,"[4315, 3662, 2028]",1,5,0.12229506387602636,128,128,128,rmsprop,0.0002124287268937303,0.00046133185199926535,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 28, 'pcnn_num_layers': 1}","{'dim': 327, 'update_pairs': False}",{'dim': 434},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 1, 'dim': 261}",-0.17707346604041987
gnn,"[2448, 1036]",1,5,0.275417247524404,256,128,128,adadelta,0.0004989574828095252,0.08646801678555656,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 5, 'pcnn_num_layers': 3}","{'dim': 297, 'update_pairs': False}",{'dim': 95},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 1, 'dim': 394}",-0.25310381100445856
gnn,[842],1,5,0.023044458409641148,256,128,128,adadelta,0.0006962245241403459,0.06697761884560131,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 49, 'pcnn_num_layers': 4}","{'dim': 497, 'update_pairs': False}",{'dim': 511},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 123}",-0.27028877454218403
gnn,"[4737, 1906]",1,5,0.026683742906508108,128,128,128,adadelta,0.3826601111924733,0.0211433094592308,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 46, 'pcnn_num_layers': 3}","{'dim': 96, 'update_pairs': False}",{'dim': 333},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 4, 'dim': 203}",-0.2834286372108995
gnn,[1392],1,5,0.16752000072820908,256,128,128,adadelta,0.3078607616948601,0.5078711947636781,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 12, 'pcnn_num_layers': 3}","{'dim': 244, 'update_pairs': False}",{'dim': 431},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 1, 'dim': 222}",-0.31280558950881715
gnn,"[2459, 1349]",1,5,0.012548981802027844,256,128,128,adam,0.0038481602576623986,0.0002688197741045424,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 28, 'pcnn_num_layers': 1}","{'dim': 193, 'update_pairs': False}",{'dim': 168},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 4, 'dim': 189}",-0.3374499304117932
gnn,"[3045, 808, 4303]",1,5,0.02200364750912256,256,128,128,adadelta,0.2030768383654228,0.029761555053462847,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 30, 'pcnn_num_layers': 2}","{'dim': 315, 'update_pairs': False}",{'dim': 482},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 369}",-0.3487182849930271
gnn,"[3973, 4844, 1304]",1,5,0.08097822863908981,128,128,128,adam,0.002893439207099514,0.0035839598269258254,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 14, 'pcnn_num_layers': 2}","{'dim': 201, 'update_pairs': False}",{'dim': 439},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 408}",-0.3498624012152659
gnn,"[690, 2960]",1,5,0.4226588244319318,128,128,128,adamax,0.028300386771202637,0.005100811831211928,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 39, 'pcnn_num_layers': 2}","{'dim': 256, 'update_pairs': False}",{'dim': 226},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 1, 'dim': 484}",-0.3517803763721656
gnn,"[1193, 1630]",1,5,0.06684634760950331,128,128,128,adagrad,0.043907925732400044,0.0015630799020950954,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 25, 'pcnn_num_layers': 2}","{'dim': 97, 'update_pairs': False}",{'dim': 274},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 1, 'dim': 469}",-0.3529923264888356
